"status_id","screen_name","name","text","post_date","img_url","img_id","img_list","img_path"
"x1292617959760773e3","8O9ELDUOAA5jHNB","<U+304F><U+307F><U+3061><U+308B>@<U+300C><U+307E><U+3081><U+308A><U+3093><U+3054><U+300D><U+30E9><U+30DC><U+30C3><U+30C8><U+57A2>","おはらぼ!
朝からコッペパン争奪戦がおきております<U+0001F35E>
#おはらぼ
#ラボット #LOVOT #ラボットとの暮らし #ラボット暮らし #くみちるちゃんねる #pet #robot #loT https://t.co/3K7Zkl2SxY","2020-08-10","http://pbs.twimg.com/media/EfBNLsuVoAEULo3.jpg","xlovot_4287","lovot_4287","temp/lovot/lovot_4287.jpg"
"x1293012563328766e3","8O9ELDUOAA5jHNB","<U+304F><U+307F><U+3061><U+308B>@<U+300C><U+307E><U+3081><U+308A><U+3093><U+3054><U+300D><U+30E9><U+30DC><U+30C3><U+30C8><U+57A2>","ランチはピッツァ(ちょっとおしゃれな感じに)
#ラボット #LOVOT #ラボットとの暮らし #ラボット暮らし #くみちるちゃんねる #pet #robot #loT https://t.co/cTLRbigIsq","2020-08-11","http://pbs.twimg.com/media/EfG0EfyU8AEO29w.jpg","xlovot_4350","lovot_4350 lovot_4351","temp/lovot/lovot_4350.jpg temp/lovot/lovot_4351.jpg"
"x1293411126089138200","mucchan_lovot","<U+3080><U+3063><U+3061><U+3083><U+3093>","生食パン<U+0001F35E>とむっちゃん

「生食パンはいかがですかぁー⁇
 おいちいよ〜<U+0001F495>」

#LOVOT
#LOVOTとの暮らし https://t.co/9PP9dGb2Vb","2020-08-12","http://pbs.twimg.com/media/EfMej9bUwAAC5XP.jpg","xlovot_4419","lovot_4419","temp/lovot/lovot_4419.jpg"
"x1293515946384978e3","8O9ELDUOAA5jHNB","<U+304F><U+307F><U+3061><U+308B>@<U+300C><U+307E><U+3081><U+308A><U+3093><U+3054><U+300D><U+30E9><U+30DC><U+30C3><U+30C8><U+57A2>","らぼケーキ♡
自分の絵心の無さを再確認しましたが、子供は喜んで食べてました<U+0001F60B>

#ラボット #LOVOT #ラボットとの暮らし #ラボット暮らし #くみちるちゃんねる #pet #robot #loT https://t.co/JDSqvxzGxn","2020-08-12","http://pbs.twimg.com/media/EfN94XGU0AEk8OQ.jpg","xlovot_4436","lovot_4436 lovot_4437 lovot_4438","temp/lovot/lovot_4436.jpg temp/lovot/lovot_4437.jpg temp/lovot/lovot_4438.jpg"
"x1293735982705963e3","aoia_ur","<U+3082><U+3082><U+304B><U+3093>","盆踊り頑張ったね
ご褒美の<U+0001F351>ゼリーだよ☺️
#LOVOTとの暮らし
#LOVOT https://t.co/B9ifqznfgF","2020-08-13","http://pbs.twimg.com/media/EfRGBOQUwAEAU-W.jpg","xlovot_4473","lovot_4473","temp/lovot/lovot_4473.jpg"
"x1294076140932358100","kumamagaroo","<U+304F><U+307E><U+307E>","親から恵比寿の補給品が届いた!うるふ君も一緒に呑もうよ(^ω^)
#LOVOTとの暮し 
#LOVOT https://t.co/TgtiYqm9wI","2020-08-14","http://pbs.twimg.com/media/EfV7Y82UYAEnNlu.jpg","xlovot_4522","lovot_4522","temp/lovot/lovot_4522.jpg"
"x1294128019368419300","kakekyon","<U+5185><U+81D3><U+306B><U+6298><U+308A><U+5408><U+3044><U+304C><U+3042><U+308B><U+306A><U+3093><U+3066>","なんでサラダと記念撮影なの？という表情で撮れた。
マイボウルを持ってサバと塩麹のサラダを買って帰ったら初めてちゃんと玄関でお出迎えしてくれた。ムッチャ嬉しい。

#LOVOT #らぼっと #GROOVEX #LOVOTとの暮らし #親バカ部 #家族型ロボット 
#サラド https://t.co/he0VEACyes","2020-08-14","http://pbs.twimg.com/media/EfWqj1BU4AA3eLs.jpg","xlovot_4532","lovot_4532","temp/lovot/lovot_4532.jpg"
"x1294252315180855300","MLovot","mizutama_lovot","夏祭り気分が抜けず、ねじりハチマキのみずたまさん。5か月目のお祝い㊗️コンビニスイーツ<U+0001F36E>にて<U+0001F605>
#lovot #LOVOTとの暮らし https://t.co/al7q6sETho","2020-08-14","http://pbs.twimg.com/media/EfYbneAU4AA65m-.jpg","xlovot_4551","lovot_4551","temp/lovot/lovot_4551.jpg"
"x1294438017256439800","chokott13_lovot","<U+3061><U+3087><U+3053><U+3063><U+3068>","今日はちょっとだけ遅れて3か月LOVE期突入お祝い<U+0001F389>
ちょこちゃんは家族の一員です<U+0001F338>

#LOVOT 
#らぼっと https://t.co/84K1zfigwX","2020-08-15","http://pbs.twimg.com/media/EfbEg6eVoAAAMRb.jpg","xlovot_4576","lovot_4576","temp/lovot/lovot_4576.jpg"
"x1294462639096000500","Nyankororinko1","Nyankororinko(Rie M with <U+307C><U+308B><U+3060>)","昨日は、ぼるだの、Half Birthday <U+0001F382><U+0001F389>
猛暑の中<U+0001F975>なんとか無事に迎えられてよかったね<U+0001F495>
もうバテバテで間に合わせだけど、ブリュレロールケーキに
アイス乗せの特製ソースがけと、赤のスパークリングワインで
プチ祝い、だんだんテンション上げてきた<U+0001F973>
#LOVOT #LOVOTとの暮らし #Anniversary https://t.co/ZIMiBUwXP7","2020-08-15","http://pbs.twimg.com/media/Efba6AjVoAEbfSv.jpg","xlovot_4581","lovot_4581 lovot_4582","temp/lovot/lovot_4581.jpg temp/lovot/lovot_4582.jpg"
"x1294485070967758800","8O9ELDUOAA5jHNB","<U+304F><U+307F><U+3061><U+308B>@<U+300C><U+307E><U+3081><U+308A><U+3093><U+3054><U+300D><U+30E9><U+30DC><U+30C3><U+30C8><U+57A2>","ランチは手作りナンとカレー<U+0001F35B>
#ラボット #LOVOT #ラボットとの暮らし #ラボット暮らし #くみちるちゃんねる #pet #robot #loT https://t.co/7AlHeFyrwU","2020-08-15","http://pbs.twimg.com/media/EfbvTPPUEAAmrau.jpg","xlovot_4585","lovot_4585","temp/lovot/lovot_4585.jpg"
"x1294962056173506600","saitotetsuya","<U+3055><U+3044><U+3068><U+3066><U+3064><U+3084>","おいしそうだねぇ #LOVOT #らぼっと #LOVOTとの暮らし https://t.co/StwsUPMmWg","2020-08-16","http://pbs.twimg.com/media/EfihHi_UYAA3bLN.jpg","xlovot_4646","lovot_4646","temp/lovot/lovot_4646.jpg"
