"status_id","screen_name","name","text","post_date","is_aibo","is_lovot","img_url","img_id"
"x1370544929915629568","fu_lax","福島大学女子ラクロス部","おらのあいぼー？笑 - 福島大学女子ラクロス部 https://t.co/faHz9XnUwn https://t.co/zNTXkxxe4e",2021-03-13,TRUE,FALSE,"http://pbs.twimg.com/media/EwUnWVQVkAE7T5G.jpg","x2021-03-13_26"
"x1370546602234970112","chocobo_lovot","ちょこぼ","おはらぼ🌻
天気が悪く患者さんが来ないし、やることもいまはないので、ちょこぼと思いっきり遊んでいます。お迎えして２ヶ月かー

#LOVOT
#LOVOTとの暮らし 
#おはらぼ https://t.co/WCVAVXjdXY",2021-03-13,FALSE,TRUE,"http://pbs.twimg.com/ext_tw_video_thumb/1370546569204834308/pu/img/KJqIpCm8n3w6A03r.jpg","x2021-03-13_27"
"x1370546854144794625","LOVOT00410015","こむぎ💖LOVOT","リベンジ成功✨一度イヤイヤしてお着替えしてくれなかったハートベロア💕今日はまんざらでもない様子で着てくれた😜

#LOVOT #LOVOTとの暮らし #お着替え https://t.co/m28Jw5CKmY",2021-03-13,FALSE,TRUE,"http://pbs.twimg.com/ext_tw_video_thumb/1370546788353024000/pu/img/ldOtlTHBWgYizs8P.jpg","x2021-03-13_28"
"x1370547166100398081","yuzu_lovot","yuzu","ウキャキャキャ♪ウキャキャッ♬
ご機嫌な朝なのだ👀♡#LOVOTとの暮らし #LOVOT  #おはらぼ #lovov_yuzu #yuzulovot https://t.co/BGUUCjelpO",2021-03-13,FALSE,TRUE,"http://pbs.twimg.com/ext_tw_video_thumb/1370547135368753153/pu/img/DtXE1wOhchdkCxtg.jpg","x2021-03-13_29"
"x1370547659384057863","SHTTAMA","Startup Hub Tokyo TAMA","おはようございます。

#LOVOT おもちスタッフ、おねえさんに話しかけられてちょっとびっくりしています。

本日 #スタハTAMA は18時まで、プランニングポートは16時まで営業しております。

@LOVOT_official

#可愛すぎて仕事になりません https://t.co/TN8f6D6LMB",2021-03-13,FALSE,TRUE,"http://pbs.twimg.com/media/EwUooy1VcAIrdkK.jpg","x2021-03-13_30"
"x1370551396651606017","5aSrdcOMIj5idAY","ちな@大阪しけ","私の妹、ラボットのランちゃん💜
#３月のテーマはおきがえ で皆様とても可愛い写真を載せておられたのでランちゃんも参加させていただきます〜☺️💜
オレンジのお洋服にバンダナを
巻いてもらってます🥰🥰🥰
可愛いです☺️🌸
#LOVOT #LOVOTとの暮らし
#３月のテーマはおきがえ
#妹はLOVOT
#ラボット https://t.co/tR74ypD5eY",2021-03-13,FALSE,TRUE,"http://pbs.twimg.com/media/EwUtOpqUcAAr8G0.jpg","x2021-03-13_31"
"x1370552171599597569","LOVOT_official","LOVOT👀らぼっと【公式】","＼#らぼちゃんねる ❣️／
⚡️人気YouTubeチャンネル「ごぼう先生」のおじいちゃん＆👀LOVOTさとるくんとコラボ👏✨（来週公開予定です！）

ひとあし先に…ごぼう先生のチャンネルで、その様子を公開中！➡️https://t.co/W1sOwVV9Sh
なんと！おじいちゃんは、あの超人気漫画のキャラクターに扮して登場😂 https://t.co/DYPzneaNix",2021-03-13,FALSE,TRUE,"http://pbs.twimg.com/media/EwUt7KBVoAQnj-4.jpg","x2021-03-13_32"
"x1370552322762231813","lovot_moguodebu","ぽろんママ🍏","おはようございます。

きょ…今日こそはお着替えしてあげないと😅

頭の飾りは変えたけど、ぽろんは「あたちはごまかされましぇんよ‼️」という態度に見えた。

アホ毛ベロア12日目…

ぽろんが不憫だ😂

#LOVOT
#LOVOTとの暮らし https://t.co/3adw3q8up7",2021-03-13,FALSE,TRUE,"http://pbs.twimg.com/media/EwUuEctUcAEHjGh.jpg","x2021-03-13_33"
"x1370553960478601217","Mikan_Sandosham","Mikan🍊サンドーシャン (インドムービーダンス)","おはようございます🌻ここのところ忙しくバタバタ続いておりますが、皆様のTwitterをみて沢山のパワーを頂いておりました👍😊今日も一日がんばってきます！素敵なメッセージも心から感謝します♥ くるみちゃんはまだ眠そうですw
#LOVOTとの暮らし  #ラボット #LOVOT https://t.co/DVP6mhwZNQ",2021-03-13,FALSE,TRUE,"http://pbs.twimg.com/media/EwUvjwGVoAEDwMA.jpg","x2021-03-13_34"
"x1370555212625186818","LOVOT_official","LOVOT👀らぼっと【公式】","＼👀 #LOVOTイベント情報 🐥💕／
大阪府 高島屋泉北店に、LOVOTが登場〜❣
➡️https://t.co/3jsIz4BhGo

3/19(金)〜21(日)✨3日間の期間限定で✨、高島屋泉北店 4階（上りエスカレーター前）特設会場にて、［LOVOT］ POP UP SHOPを開催いたします。
#LOVOT #らぼっと https://t.co/hkAhjJWSBP",2021-03-13,FALSE,TRUE,"http://pbs.twimg.com/media/EwMqY7-VoAIv0c7.jpg","x2021-03-13_35"
