word,n
がんがん,1
かんぜん,1
きちっと,1
キチン,1
きっぱり,1
キビキビ,1
キャーキャー,1
きゅうきょ,1
きょろきょろ,1
きらきら,1
きりっと,1
きりりと,1
ぐうぜん,1
ぐずぐず,1
ぐったり,1
クラクラ,1
ぐらぐら,1
くりくり,1
ぐりぐり,1
くるり,1
ぐるり,1
グングン,1
ぐんと,1
けろけろ,1
コソコソ,1
ごたごた,1
ゴタゴタ,1
コテコテ,1
こまごま,1
コリコリ,1
こんなふうに,1
こんもり,1
ザーザー,1
さきほど,1
ザクザク,1
さくっと,1
さぞかし,1
ざっと,1
さも,1
じきに,1
しくしく,1
しこしこ,1
シコシコ,1
しこたま,1
じたばた,1
しっぽり,1
じとじと,1
しまいに,1
じゃんじゃん,1
しょぼん,1
じりじり,1
ジリジリ,1
すーっ,1
すかさず,1
すぐさま,1
スクスク,1
すたすた,1
ずっぷり,1
すっぽり,1
ずばり,1
ずんと,1
すんなり,1
スンナリ,1
せつに,1
ぞっと,1
そのうえ,1
それ程,1
そわそわ,1
たいして,1
たちまち,1
たびたび,1
だらだら,1
たんたんと,1
たんまり,1
ちびちび,1
ちゃくちゃく,1
ちょびっと,1
ちょろちょろ,1
ちらっ,1
チリンチリン,1
ちんまり,1
ついぞ,1
つゆ,1
つらつら,1
つんつん,1
でかでか,1
どうこう,1
とうてい,1
とおく,1
どかどか,1
ときには,1
とく,1
とくと,1
とことこ,1
どっさり,1
どっしり,1
どっちみち,1
とっとと,1
どのみち,1
とびきり,1
とまれ,1
ともすると,1
とやかく,1
どんと,1
とんとん,1
なぞ,1
なにかと,1
なにぶん,1
なにもかも,1
なんぼ,1
なんら,1
ニコッ,1
にやにや,1
ニンマリ,1
ねっとり,1
のうのう,1
のほほん,1
パサパサ,1
はた,1
はたして,1
ばたばた,1
パタリ,1
ぱちくり,1
ばったり,1
ぱったり,1
ぱっちり,1
パリパリ,1
はるか,1
はんなり,1
ばんばん,1
ぴーんと,1
ぴかぴか,1
びく,1
ヒシヒシ,1
ピシャリ,1
ピタリ,1
びちゃびちゃ,1
ビッシリ,1
ぴったし,1
ひとえに,1
ひときわ,1
ひどく,1
ひょこひょこ,1
ぴょこぴょこ,1
ピリッ,1
ぴんと,1
ピンピン,1
ブーブー,1
ふうふう,1
ぶすぶす,1
ふたたび,1
ぶつくさ,1
ふっと,1
ふにゃふにゃ,1
ぶらぶら,1
ぶりぶり,1
ぶるぶる,1
ふわっと,1
プンプン,1
ペコペコ,1
ぺこり,1
ベタベタ,1
ぺったり,1
ヘラヘラ,1
べろべろ,1
ぽかぽか,1
ぼこぼこ,1
ボサボサ,1
ボソボソ,1
ぽたぽた,1
ぼろぼろ,1
ほんに,1
ほんのり,1
まえもって,1
まっさきに,1
まるっきり,1
みっちり,1
みょうに,1
むしむし,1
むずむず,1
むっくり,1
むっちり,1
むっと,1
むりょ,1
めそめそ,1
めったに,1
めっぽう,1
モゴモゴ,1
もたもた,1
モタモタ,1
もっぱら,1
モロに,1
やいやい,1
やきもき,1
やむなく,1
やんわり,1
ユラユラ,1
ようは,1
よけい,1
よしや,1
よしんば,1
よも,1
よりより,1
一体全体,1
一味,1
万,1
且つ,1
並べて,1
予め,1
今ごろ,1
今に,1
仲よく,1
休み休み,1
伸び伸び,1
何やら,1
僅か,1
切に,1
別段,1
前もって,1
却って,1
只,1
各々,1
夜通し,1
夢にも,1
大体,1
如何,1
如何に,1
始終,1
嫌々ながら,1
尚,1
常常,1
年がら年中,1
年中,1
当て,1
後に,1
後程,1
徒然,1
心して,1
思う存分,1
恐ろしく,1
恥ずかしながら,1
悠々,1
悪しからず,1
惜しくも,1
日ごろ,1
是非とも,1
時たま,1
普通,1
暫し,1
曲がりなりにも,1
根から,1
根こそぎ,1
根っから,1
極めて,1
楽に,1
概ね,1
殊更,1
漸く,1
黙々と,1
現に,1
生憎,1
略,1
目の当たり,1
着々,1
確り,1
細々,1
総じて,1
脈々と,1
自ずと,1
蓋し,1
薄々,1
軽々と,1
遅まきながら,1
遥々,1
間もなく,1
青々,1
頑として,1
頻りに,1
願わくは,1
高々,1
